rank,time_range,artist_id,genres,popularity,followers,extracted_at
1,long_term,Ken Carson,rage rap,81,2987125,2025-07-06T23:01:27.951245
2,long_term,Playboi Carti,rage rap,91,14445686,2025-07-06T23:01:27.956844
3,long_term,beabadoobee,bedroom pop,82,5957150,2025-07-06T23:01:27.956879
4,long_term,Destroy Lonely,rage rap,74,1611967,2025-07-06T23:01:27.956884
5,long_term,the peggies,"anime,j-rock,j-pop,japanese indie",51,231232,2025-07-06T23:01:27.956891
6,long_term,Lamp,"shibuya-kei,japanese indie,city pop",65,1415957,2025-07-06T23:01:27.956896
7,long_term,Men I Trust,"bedroom pop,indie pop",74,2236207,2025-07-06T23:01:27.956901
8,long_term,OsamaSon,"rage rap,underground hip hop",69,351373,2025-07-06T23:01:27.956906
9,long_term,Lil Uzi Vert,melodic rap,86,18935787,2025-07-06T23:01:27.956910
10,long_term,SHISHAMO,"japanese indie,j-rock,j-pop",61,653182,2025-07-06T23:01:27.956915
11,long_term,Cochise,rage rap,65,847616,2025-07-06T23:01:27.956920
12,long_term,Steve Lacy,,81,6088942,2025-07-06T23:01:27.956924
13,long_term,LUCKI,cloud rap,79,1663365,2025-07-06T23:01:27.956928
14,long_term,Kero Kero Bonito,,56,554675,2025-07-06T23:01:27.956931
15,long_term,PinkPantheress,bedroom pop,82,4368163,2025-07-06T23:01:27.956935
16,long_term,Clairo,bedroom pop,82,6224206,2025-07-06T23:01:27.956940
17,long_term,"Tyler, The Creator",,90,22733952,2025-07-06T23:01:27.956943
18,long_term,Drake,rap,98,99692144,2025-07-06T23:01:27.956947
19,long_term,Pi’erre Bourne,melodic rap,66,1074364,2025-07-06T23:01:27.956951
20,long_term,Glokk40Spaz,underground hip hop,64,296181,2025-07-06T23:01:27.956955
21,long_term,Kanye West,rap,93,30299586,2025-07-06T23:01:27.956959
22,long_term,Faye Webster,,75,1976397,2025-07-06T23:01:27.956962
23,long_term,SoFaygo,rage rap,62,858536,2025-07-06T23:01:27.956969
24,long_term,Summrs,underground hip hop,64,508140,2025-07-06T23:01:27.956973
25,long_term,Autumn!,underground hip hop,64,605840,2025-07-06T23:01:27.956976
26,long_term,"Lucie,Too","japanese indie,j-rock",28,39195,2025-07-06T23:01:27.956981
27,long_term,Yeat,rage rap,81,5815522,2025-07-06T23:01:27.956985
28,long_term,Lil Tecca,"melodic rap,rap",87,9737423,2025-07-06T23:01:27.956989
29,long_term,jahhde,rage rap,49,29850,2025-07-06T23:01:27.956993
30,long_term,Homixide Gang,rage rap,62,530032,2025-07-06T23:01:27.956997
31,long_term,ian,,72,569458,2025-07-06T23:01:27.957000
32,long_term,Rich Amiri,rage rap,68,741652,2025-07-06T23:01:27.957004
33,long_term,Rex Orange County,bedroom pop,79,6562729,2025-07-06T23:01:27.957007
34,long_term,D. Savage,cloud rap,60,563693,2025-07-06T23:01:27.957012
35,long_term,1oneam,underground hip hop,57,98074,2025-07-06T23:01:27.957016
36,long_term,Tay-K,,65,3756479,2025-07-06T23:01:27.957020
37,long_term,Title Fight,"midwest emo,shoegaze,post-hardcore,melodic hardcore,emo,pop punk",67,578824,2025-07-06T23:01:27.957024
38,long_term,Summer Walker,r&b,80,7728093,2025-07-06T23:01:27.957027
39,long_term,Thouxanbanfauni,"cloud rap,melodic rap",56,276990,2025-07-06T23:01:27.957031
40,long_term,Kehlani,,80,8295128,2025-07-06T23:01:27.957034
41,long_term,Ethereal,cloud rap,53,95756,2025-07-06T23:01:27.957037
42,long_term,Che,"rage rap,underground hip hop",63,246717,2025-07-06T23:01:27.957041
43,long_term,Yameii Online,"hyperpop,glitch",48,194865,2025-07-06T23:01:27.957045
44,long_term,Kid Cudi,,81,7559189,2025-07-06T23:01:27.957048
45,long_term,The Marías,bedroom pop,86,3013578,2025-07-06T23:01:27.957052
46,long_term,Daniel Caesar,,86,9815809,2025-07-06T23:01:27.957056
47,long_term,Nettspend,"underground hip hop,rage rap",65,298070,2025-07-06T23:01:27.957060
48,long_term,sneak,underground hip hop,39,7495,2025-07-06T23:01:27.957064
49,long_term,Ichiko Aoba,"japanese indie,shibuya-kei",63,918105,2025-07-06T23:01:27.957067
50,long_term,Anri,"city pop,kayokyoku,j-pop",63,497589,2025-07-06T23:01:27.957071
